RelTime,UT,x,y,z
31,2000-Feb-01 12:00,-0.7780129306173919,-0.5281252123737138,-0.21665486528052147
32,2000-Feb-02 12:00,-0.7653888227890662,-0.5390826011388402,-0.2204057952061178
33,2000-Feb-03 12:00,-0.7525098174887185,-0.5498611144966541,-0.22408339082627202
34,2000-Feb-04 12:00,-0.7393782127750882,-0.560454564340436,-0.22768566061972084
35,2000-Feb-05 12:00,-0.7259956229253314,-0.5708578070822303,-0.23121068457202326
36,2000-Feb-06 12:00,-0.7123642593258409,-0.5810651661205554,-0.23465616930272615
37,2000-Feb-07 12:00,-0.6984859326986842,-0.5910713624403471,-0.23802034638722888
38,2000-Feb-08 12:00,-0.6843629796366818,-0.6008705338345127,-0.24130152113426587
39,2000-Feb-09 12:00,-0.669998030759502,-0.6104569340354611,-0.24449719424693978
40,2000-Feb-10 12:00,-0.6553932947082208,-0.6198251900534437,-0.24760539525096079
41,2000-Feb-11 12:00,-0.6405515270692588,-0.6289693899757302,-0.25062423718575366
42,2000-Feb-12 12:00,-0.6254757718594095,-0.6378837677783707,-0.2535510506154502
43,2000-Feb-13 12:00,-0.6101689266033122,-0.6465622787188418,-0.2563845599092897
44,2000-Feb-14 12:00,-0.5946342587967652,-0.6549991187691823,-0.25912227819309197
45,2000-Feb-15 12:00,-0.5788746587266564,-0.6631888984005837,-0.26176181922368047
46,2000-Feb-16 12:00,-0.5628943948932217,-0.6711247505514166,-0.2643017463958386
47,2000-Feb-17 12:00,-0.546696239913958,-0.6788018669761017,-0.26673901579167286
48,2000-Feb-18 12:00,-0.5302846852711396,-0.6862134015062585,-0.26907238124848415
49,2000-Feb-19 12:00,-0.5136635957388165,-0.6933536381756701,-0.2712994229059901
50,2000-Feb-20 12:00,-0.4968368427314734,-0.7002167518846116,-0.27341824262535164
51,2000-Feb-21 12:00,-0.4798091228820418,-0.7067968864342418,-0.2754257955003229
52,2000-Feb-22 12:00,-0.4625853656190283,-0.7130873463453113,-0.27732121613545946
53,2000-Feb-23 12:00,-0.4451699391641782,-0.7190827213472812,-0.2791016646927883
54,2000-Feb-24 12:00,-0.42756817779859146,-0.7247767482312499,-0.28076523218621685
