element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""384.54049""","=""0.00002""","=""32""","=""1.6e+06""",C,"=""134241.7389""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""385.05808""","=""0.00001""","=""263""","=""3.87e+07""",B,"=""135085.9958""","=""161048.7411""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""385.51603""","=""0.00010""","=""6""","=""1.5e+06""",D,"=""160239.4280""","=""186171.3330""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""385.61374""","=""0.00017""","=""6""","=""""",,"=""158167.7999""","=""184093.1337""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""385.82923""","=""0.00005""","=""8""","=""""",,"=""214347.599""","=""240258.453""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""""","=""L11520""",
Ar,2,"=""386.1348""","=""0.0006""","=""3""","=""""",,"=""147503.1134""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""386.85281""","=""0.00001""","=""166""","=""1.4e+08""",C,"=""161048.7411""","=""186891.0393""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""386.9614""","=""0.0006""","=""2h""","=""6.e+05""",C,"=""160239.4280""","=""186074.4375""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""",,"=""T926""","=""L14821""",
Ar,2,"=""387.21361""","=""0.00007""","=""11""","=""1.5e+07""",C,"=""158167.7999""","=""183986.0137""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",,"=""T926""","=""L11520""",
Ar,3,"=""387.422""","=""0.003""","=""4""","=""""",,"=""214347.599""","=""240151.990""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""387.52641""","=""0.00001""","=""78""","=""8.2e+06""",B,"=""132630.7277""","=""158428.1087""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""388.03323""","=""0.00005""","=""15""","=""2.32e+07""",B,"=""158428.1087""","=""184191.7917""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""388.314""","=""0.002""","=""0h""","=""""",,"=""173393.4658""","=""199138.5106""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""389.14011""","=""0.00006""","=""14""","=""4.3e+06""",B,"=""132737.7039""","=""158428.1087""","=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""389.19787""","=""0.00002""","=""50""","=""6.3e+06""",C,"=""132481.2068""","=""158167.7999""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""389.52506""","=""0.00014""","=""5""","=""""",,"=""158428.1087""","=""184093.1337""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""390.06251""","=""0.00010""","=""8""","=""7.2e+06""",B,"=""158167.7999""","=""183797.4473""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""390.695""","=""0.004""","=""0bl?""","=""""",,"=""147228.0521""","=""172816.2926""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",,"=""""","=""L14821""",
Ar,3,"=""390.784""","=""0.003""","=""7""","=""""",,"=""214569.5""","=""240151.990""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""0""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""391.15759""","=""0.00011""","=""6""","=""7.7e+06""",C+,"=""158428.1087""","=""183986.0137""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""391.47674""","=""0.00004""","=""25""","=""3.7e+06""",B,"=""132630.7277""","=""158167.7999""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""391.5516""","=""0.0012""","=""1bl""","=""""",,"=""186074.4375""","=""211606.5420""","=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""","=""3s2.3p4.(3P<1>).6f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""391.77669""","=""0.00013""","=""5""","=""1.e+05""",C,"=""147875.9477""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T1386n""","=""L11520""",
Ar,2,"=""392.2359""","=""0.0006""","=""2""","=""3.e+05""",C,"=""135601.7336""","=""161089.3846""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",,"=""T926""","=""L14821""",
Ar,2,"=""392.2528""","=""0.0006""","=""1h""","=""""",,"=""158428.1087""","=""183914.6440""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""392.3556""","=""0.0006""","=""1""","=""""",,"=""189415.0280""","=""214894.90""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).8d""","=""4F""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""392.57186""","=""0.00001""","=""129""","=""1.4e+08""",D,"=""170401.0170""","=""195866.8503""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""392.60451""","=""0.00006""","=""13""","=""""",,"=""170401.0170""","=""195864.7296""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""392.86227""","=""0.00001""","=""191""","=""2.44e+07""",B,"=""135601.7336""","=""161048.7411""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""393.12353""","=""0.00006""","=""17""","=""2.0e+06""",B,"=""132737.7039""","=""158167.7999""","=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""393.25463""","=""0.00001""","=""91""","=""9.3e+07""",C,"=""161048.7411""","=""186470.3603""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""393.317""","=""0.004""","=""2bl""","=""""",,"=""157673.4134""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""""","=""L14821""",
